,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,0,4,46,7,9,0,1,3.2,1,0,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,4.0,4,0,0,11,41,0,19,0,0,0,0.0,0,2003-01-23 00:00:08,1043280008,7,7,24,60
1,5,1,17,6,9,0,0,1.3333333333333333,9,1,0,0,1,4,0,0,0,0,0,4,9,1,0,0,1,4,0,0,0,0,0,2,8.0,6,2,5,1,12,0,10,0,0,0,0.0,0,2003-01-23 00:05:08,1043280308,6,6,0,14
2,0,2,17,4,7,0,0,2.0,2,1,0,0,5,0,0,0,0,0,0,3,2,1,0,0,5,0,0,0,0,0,0,0,5.0,4,1,3,5,10,0,17,0,0,0,0.0,0,2003-01-23 00:10:08,1043280608,4,7,0,7
3,1,1,32,7,10,0,2,0.6,3,1,0,1,0,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,1,1.0,1,0,1,5,30,0,13,0,0,0,0.0,0,2003-01-23 00:15:08,1043280908,5,7,0,25
4,2,1,32,16,16,0,0,0.5454545454545454,8,0,0,3,0,0,0,0,0,0,0,2,8,0,0,3,0,0,0,0,0,0,0,4,6.0,2,4,1,21,28,0,22,0,1,0,0.0,0,2003-01-23 00:20:08,1043281208,5,8,0,17
5,1,1,40,4,12,0,3,0.42424242424242425,31,0,0,1,0,0,0,0,0,0,0,12,31,0,0,1,0,0,0,0,0,0,0,21,,0,0,9,0,35,0,19,0,1,0,0.0,0,2003-01-23 00:25:08,1043281508,4,9,0,19
6,3,5,29,4,9,0,1,1.4210526315789473,11,1,0,1,1,4,1,0,0,0,0,5,11,1,0,1,1,4,1,0,0,0,0,10,2.0,2,0,6,2,21,0,12,0,3,0,0.0,0,2003-01-23 00:30:08,1043281808,4,8,1,29
7,5,2,16,6,9,0,0,2.230769230769231,6,0,0,0,0,6,1,0,0,0,0,5,6,0,0,0,0,6,1,0,0,0,0,4,6.0,6,0,3,1,15,0,10,0,1,0,0.0,0,2003-01-23 00:35:08,1043282108,6,6,2,14
8,4,7,141,3,9,0,2,1.7142857142857142,10,0,0,7,0,2,0,0,2,0,0,7,10,0,0,7,0,2,0,0,2,0,0,5,9.0,8,1,5,12,129,0,29,0,4,0,0.0,0,2003-01-23 00:40:08,1043282408,3,7,1,126
9,78,5,129,4,9,0,0,1.4516129032258065,41,0,0,78,0,1,4,0,0,0,0,5,41,0,0,78,0,1,4,0,0,0,0,35,14.0,11,3,75,0,120,0,15,0,3,0,0.0,0,2003-01-23 00:45:08,1043282708,4,7,111,189
10,6,4,59,3,8,0,1,0.46153846153846156,38,4,0,10,0,0,0,0,0,0,0,2,38,4,0,10,0,0,0,0,0,0,0,26,11.0,8,3,14,3,47,0,25,0,0,0,0.0,0,2003-01-23 00:50:08,1043283008,3,8,0,53
11,2,1,14,5,9,0,2,0.5454545454545454,8,0,0,3,0,0,0,0,0,0,0,2,8,0,0,3,0,0,0,0,0,0,0,2,3.0,1,2,4,1,11,0,11,0,1,0,0.0,0,2003-01-23 00:55:08,1043283308,4,7,1,4
12,3,33,67,7,7,0,0,2.888888888888889,0,3,0,2,27,4,0,0,0,0,0,4,0,3,0,2,27,4,0,0,0,0,0,0,29.0,29,0,7,29,39,0,12,0,0,0,0.0,0,2003-01-23 01:00:08,1043283608,7,7,0,254
13,39,8,386,5,11,0,1,1.0223880597014925,85,0,0,33,5,5,3,2,0,0,1,9,85,0,0,33,5,5,3,2,0,0,1,83,41.0,41,0,9,7,380,0,49,0,2,0,0.0,0,2003-01-23 01:05:08,1043283908,5,8,0,129
14,6,7,38,5,13,0,1,1.4482758620689655,15,5,0,2,3,0,0,4,0,0,0,6,15,5,0,2,3,0,0,4,0,0,0,8,6.0,6,0,14,1,27,0,20,0,0,0,0.0,0,2003-01-23 01:10:08,1043284208,5,9,62,89
15,2,3,117,4,9,0,1,0.20952380952380953,98,2,0,3,1,0,0,0,0,0,0,11,98,2,0,3,1,0,0,0,0,0,0,97,5.0,5,0,2,4,112,0,33,0,1,0,0.0,0,2003-01-23 01:15:08,1043284508,4,8,0,15
