,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,5,13,94,8,14,0,2,4.346153846153847,8,0,0,3,0,0,0,2,11,0,2,9,8,0,0,3,0,0,0,2,11,0,2,4,18,16,2,2,68,68,0,37,0,10,0,0.0,0,2001-09-16 00:13:19,1000599199,8,11,0,24
1,41,79,214,6,12,0,31,2.562162162162162,40,1,0,52,9,77,5,0,0,0,1,9,40,1,0,52,9,77,5,0,0,0,1,2,138,131,7,14,27,72,0,28,0,27,0,0.0,0,2001-09-16 00:18:19,1000599499,6,11,0,133
2,53,46,252,6,14,0,5,2.888,23,19,0,12,14,41,2,0,12,0,2,9,23,19,0,12,14,41,2,0,12,0,2,5,113,100,13,2,23,172,0,45,0,10,0,0.0,0,2001-09-16 00:23:19,1000599799,6,9,2,10
3,10,11,45,5,13,0,8,1.25,14,16,0,8,4,1,0,0,1,0,0,7,14,16,0,8,4,1,0,0,1,0,0,2,31,30,1,3,1,19,0,17,0,2,0,0.0,0,2001-09-16 00:28:19,1000600099,5,9,0,9
4,8,10,154,4,11,0,5,0.2517985611510791,120,12,0,4,1,1,0,0,0,1,0,8,120,12,0,4,1,1,0,0,0,1,0,111,23,19,4,0,15,137,0,33,0,1,0,0.0,0,2001-09-16 00:33:19,1000600399,4,8,0,111
5,20,16,64,3,14,0,6,1.4666666666666666,20,6,0,28,3,0,2,0,1,0,0,7,20,6,0,28,3,0,2,0,1,0,0,3,48,37,11,3,4,28,0,36,0,4,0,0.0,0,2001-09-16 00:38:19,1000600699,3,9,0,11
6,4,9,159,4,17,0,3,0.3225806451612903,111,1,0,6,3,1,0,0,2,0,0,7,111,1,0,6,3,1,0,0,2,0,0,106,13,12,1,2,33,150,0,23,0,2,0,0.0,0,2001-09-16 00:43:19,1000600999,4,9,0,12
7,2,10,37,6,10,0,8,1.6,16,1,1,6,1,3,2,0,0,0,0,10,16,1,1,6,1,3,2,0,0,0,0,6,11,9,2,5,6,23,1,27,0,3,0,0.05,1,2001-09-16 00:48:19,1000601299,6,6,1,8
8,5,7,26,4,16,0,4,2.6818181818181817,6,3,1,7,1,1,0,0,2,0,0,11,6,3,1,7,1,1,0,0,2,0,0,2,14,14,0,2,4,13,2,17,0,2,0,0.07692307692307693,1,2001-09-16 00:53:19,1000601599,4,12,0,7
9,1,12,38,7,7,0,1,1.4117647058823528,19,0,0,7,0,6,2,0,0,0,0,5,19,0,0,7,0,6,2,0,0,0,0,13,16,11,5,4,4,29,7,17,0,3,0,0.18421052631578946,3,2001-09-16 00:58:19,1000601899,6,7,0,13
10,13,14,47,7,14,0,4,2.1666666666666665,8,0,0,23,0,2,0,1,0,0,2,9,8,0,0,23,0,2,0,1,0,0,2,1,29,26,3,2,11,28,4,23,0,4,0,0.0851063829787234,2,2001-09-16 01:03:19,1000602199,5,7,0,19
11,7,6,35,8,12,0,3,1.625,9,0,0,8,5,2,0,0,0,0,0,4,9,0,0,8,5,2,0,0,0,0,0,3,16,13,3,2,10,18,15,27,0,3,0,0.42857142857142855,4,2001-09-16 01:08:19,1000602499,6,7,2,20
12,5,12,35,4,12,0,2,2.5,4,1,0,13,2,2,2,0,2,0,0,7,4,1,0,13,2,2,2,0,2,0,0,2,20,20,0,2,9,22,9,20,0,4,0,0.2571428571428571,3,2001-09-16 01:13:19,1000602799,4,7,0,6
13,18,12,58,10,11,0,1,4.1923076923076925,10,2,0,13,0,0,0,0,26,1,0,8,10,2,0,13,0,0,0,0,26,1,0,2,49,42,7,0,6,26,1,19,0,12,0,0.017241379310344827,1,2001-09-16 01:18:19,1000603099,7,8,0,11
14,6,8,25,5,11,0,2,2.263157894736842,5,3,0,7,0,0,1,0,3,0,0,7,5,3,0,7,0,0,1,0,3,0,0,3,12,12,0,2,2,20,5,11,0,6,0,0.2,2,2001-09-16 01:23:19,1000603399,5,8,0,5
15,4,1,16,5,10,0,1,2.2,7,1,0,3,0,0,1,0,3,0,0,7,7,1,0,3,0,0,1,0,3,0,0,4,8,7,1,2,1,12,0,11,0,1,0,0.0,0,2001-09-16 01:28:19,1000603699,5,7,0,1
16,16,16,66,5,10,0,6,2.0961538461538463,16,0,0,28,0,0,1,1,6,0,0,7,16,0,0,28,0,0,1,1,6,0,0,0,44,34,10,2,13,24,8,26,0,6,1,0.11940298507462685,3,2001-09-16 01:33:19,1000603999,5,8,0,6
17,24,22,66,5,10,0,0,3.65625,14,0,0,20,4,0,0,0,26,0,0,7,14,0,0,20,4,0,0,0,26,0,0,4,51,41,10,9,2,38,0,21,0,6,1,0.0,0,2001-09-16 01:38:19,1000604299,5,7,4,13
18,1,10,18,2,6,0,1,1.625,4,0,0,10,2,0,0,0,0,0,0,3,4,0,0,10,2,0,0,0,0,0,0,3,11,11,0,1,2,16,4,7,0,4,0,0.2222222222222222,2,2001-09-16 01:43:19,1000604599,2,6,0,3
19,4,8,29,4,9,0,2,1.8636363636363635,4,2,0,13,0,2,1,0,0,0,0,5,4,2,0,13,0,2,1,0,0,0,0,2,15,15,0,3,7,15,7,24,0,1,0,0.2413793103448276,2,2001-09-16 01:48:19,1000604899,4,8,0,5
20,22,21,98,7,12,0,9,1.7564102564102564,21,0,0,46,3,6,1,0,1,0,0,7,21,0,0,46,3,6,1,0,1,0,0,5,49,42,7,15,19,46,14,50,0,9,1,0.14285714285714285,2,2001-09-16 01:53:19,1000605199,5,9,0,29
21,23,25,117,4,17,0,25,1.43,36,1,0,54,5,3,0,0,1,0,0,7,36,1,0,54,5,3,0,0,1,0,0,9,56,54,2,10,17,51,11,47,0,7,3,0.09401709401709403,2,2001-09-16 01:58:19,1000605499,4,11,0,30
22,45,46,153,5,16,0,21,1.9027777777777777,40,3,0,63,29,1,2,2,1,2,1,9,40,3,0,63,29,1,2,2,1,2,1,3,93,77,16,27,5,54,14,59,0,12,3,0.0915032679738562,3,2001-09-16 02:03:19,1000605799,5,10,0,27
23,8,19,67,5,13,0,5,1.7592592592592593,18,1,0,23,8,1,1,0,1,1,0,8,18,1,0,23,8,1,1,0,1,1,0,5,31,23,8,13,10,40,11,39,0,10,3,0.16417910447761194,2,2001-09-16 02:08:19,1000606099,5,9,0,21
24,28,5,93,6,13,0,10,2.5774647887323945,22,2,0,28,2,0,0,0,17,0,0,7,22,2,0,28,2,0,0,0,17,0,0,2,55,45,10,4,18,44,11,32,0,12,2,0.11827956989247312,3,2001-09-16 02:13:19,1000606399,6,8,0,13
25,3,29,73,7,11,0,19,2.272727272727273,26,1,0,21,0,0,1,17,0,0,0,6,26,1,0,21,0,0,1,17,0,0,0,3,35,31,4,9,7,41,6,26,0,3,0,0.0821917808219178,3,2001-09-16 02:18:19,1000606699,7,8,0,12
26,40,33,120,7,15,0,8,2.0444444444444443,13,2,0,54,10,11,0,0,0,0,0,4,13,2,0,54,10,11,0,0,0,0,0,0,78,73,5,4,30,67,16,51,0,0,1,0.13333333333333333,2,2001-09-16 02:23:19,1000606999,7,11,0,31
27,30,26,82,5,10,0,6,4.083333333333333,14,0,0,17,2,1,0,18,18,2,0,8,14,0,0,17,2,1,0,18,18,2,0,3,61,56,5,2,5,41,3,31,0,6,1,0.03658536585365853,1,2001-09-16 02:28:19,1000607299,5,8,0,16
28,39,42,111,5,10,0,4,2.48936170212766,13,2,0,56,6,0,0,17,0,0,0,6,13,2,0,56,6,0,0,17,0,0,0,9,78,78,0,3,16,61,3,26,0,12,0,0.027027027027027032,1,2001-09-16 02:33:19,1000607599,5,7,0,16
