,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,4,6,53,4,10,0,1,2.363636363636364,2,1,0,11,3,5,0,0,0,0,0,4,2,1,0,11,3,5,0,0,0,0,0,0,20,19,1,1,31,31,0,33,0,0,0,0.0,0,2001-07-17 00:05:52,995328352,4,10,0,2
1,13,14,90,3,10,0,5,1.94,9,0,0,31,5,5,0,0,0,0,0,4,9,0,0,31,5,5,0,0,0,0,0,0,44,40,4,1,32,48,0,38,0,11,1,0.0,0,2001-07-17 00:10:52,995328652,3,9,0,11
2,17,13,155,6,12,0,18,1.4125,39,1,0,25,6,5,0,4,0,0,0,6,39,1,0,25,6,5,0,4,0,0,0,7,53,39,14,2,74,101,0,62,0,22,3,0.0,0,2001-07-17 00:15:52,995328952,6,9,0,15
3,381,386,1015,6,13,0,32,1.9097560975609755,48,3,0,759,3,5,0,0,1,0,1,9,48,3,0,759,3,5,0,0,1,0,1,6,776,767,9,6,194,225,0,75,0,31,3,0.0,0,2001-07-17 00:20:52,995329252,6,10,0,21
4,21,41,145,4,13,0,30,1.4190476190476191,42,0,0,52,5,4,0,0,2,0,0,7,42,0,0,52,5,4,0,0,2,0,0,9,59,57,2,7,36,71,0,47,0,14,0,0.0,0,2001-07-17 00:25:52,995329552,4,10,0,17
5,8,6,121,6,12,0,24,0.9875,49,1,0,20,4,4,2,0,0,0,0,5,49,1,0,20,4,4,2,0,0,0,0,23,30,29,1,3,41,81,0,28,0,14,1,0.0,0,2001-07-17 00:30:52,995329852,6,9,0,44
6,7,25,107,8,10,0,10,1.6901408450704225,37,0,0,7,18,5,0,0,0,4,0,8,37,0,0,7,18,5,0,0,0,4,0,20,38,32,6,3,23,62,0,35,0,11,0,0.0,0,2001-07-17 00:35:52,995330152,8,8,1,42
7,33,30,150,6,14,0,24,1.8,27,1,0,83,5,5,2,1,1,0,0,7,27,1,0,83,5,5,2,1,1,0,0,0,80,77,3,21,12,84,0,39,0,13,0,0.0,0,2001-07-17 00:40:52,995330452,6,9,0,9
8,210,208,497,5,14,0,32,1.86652977412731,41,0,0,438,1,6,0,1,0,0,0,6,41,0,0,438,1,6,0,1,0,0,0,8,443,442,1,4,10,141,6,58,0,24,0,0.012072434607645876,4,2001-07-17 00:45:52,995330752,5,9,0,14
9,12,13,89,6,17,0,19,1.338235294117647,37,0,0,15,8,6,0,1,1,0,0,7,37,0,0,15,8,6,0,1,1,0,0,14,32,28,4,3,9,52,7,36,0,19,0,0.07865168539325842,2,2001-07-17 00:50:52,995331052,6,14,0,30
10,32,36,161,4,14,0,32,2.0393700787401574,49,13,0,30,11,5,0,0,19,0,0,7,49,13,0,30,11,5,0,0,19,0,0,4,81,68,13,10,33,65,22,73,0,17,9,0.13664596273291926,4,2001-07-17 00:55:52,995331352,4,12,4,27
11,18,12,246,6,12,0,55,0.989010989010989,108,1,0,45,23,5,0,0,0,0,0,4,108,1,0,45,23,5,0,0,0,0,0,13,113,73,40,1,63,98,25,90,0,11,0,0.1016260162601626,3,2001-07-17 01:00:52,995331652,6,12,0,35
12,37,23,109,4,10,0,19,2.21505376344086,25,15,0,29,4,3,0,13,1,3,0,8,25,15,0,29,4,3,0,13,1,3,0,6,48,48,0,20,16,48,5,46,0,5,0,0.045871559633027525,2,2001-07-17 01:05:52,995331952,4,7,0,24
13,19,27,280,2,11,0,10,1.9453551912568303,18,0,0,150,8,5,1,0,1,0,0,7,18,0,0,150,8,5,1,0,1,0,0,1,161,156,5,11,96,127,6,50,0,14,0,0.021428571428571432,2,2001-07-17 01:10:52,995332252,2,7,0,13
14,21,14,117,4,9,0,31,1.3775510204081634,40,2,0,41,9,6,0,0,0,0,0,4,40,2,0,41,9,6,0,0,0,0,0,6,55,53,2,6,18,56,7,43,0,18,4,0.059829059829059825,3,2001-07-17 01:15:52,995332552,4,9,0,22
15,15,19,101,8,8,0,10,1.8243243243243243,22,2,0,32,4,13,1,0,0,0,0,5,22,2,0,32,4,13,1,0,0,0,0,11,45,44,1,8,27,54,9,44,0,18,0,0.0891089108910891,2,2001-07-17 01:20:52,995332852,8,8,0,21
16,27,25,173,4,10,0,27,1.879746835443038,51,1,0,79,7,8,3,1,0,8,0,8,51,1,0,79,7,8,3,1,0,8,0,13,112,102,10,6,14,76,7,64,0,16,0,0.04046242774566474,2,2001-07-17 01:25:52,995333152,4,9,0,23
17,38,37,131,9,11,0,25,1.559055118110236,49,3,0,42,25,5,2,1,0,0,0,6,49,3,0,42,25,5,2,1,0,0,0,20,78,74,4,4,3,67,9,44,0,13,0,0.06870229007633588,3,2001-07-17 01:30:52,995333452,6,9,0,18
18,118,126,288,4,11,0,20,2.003690036900369,22,0,0,213,29,5,2,0,0,0,0,5,22,0,0,213,29,5,2,0,0,0,0,1,235,234,1,15,17,143,10,46,0,11,0,0.034722222222222224,2,2001-07-17 01:35:52,995333752,4,9,0,22
19,15,48,178,6,13,0,8,2.165289256198347,22,1,0,58,27,9,1,0,2,0,1,9,22,1,0,58,27,9,1,0,2,0,1,9,98,93,5,6,57,105,25,80,0,9,2,0.1404494382022472,6,2001-07-17 01:40:52,995334052,6,11,0,42
20,40,77,239,4,11,0,4,2.197604790419162,29,1,0,108,4,11,2,5,3,3,1,9,29,1,0,108,4,11,2,5,3,3,1,18,132,129,3,13,71,124,22,89,0,26,1,0.09205020920502092,2,2001-07-17 01:45:52,995334352,4,9,0,13
21,39,46,302,6,12,0,78,1.5895196506550218,93,2,0,60,64,8,0,0,0,0,2,9,93,2,0,60,64,8,0,0,0,0,2,7,125,117,8,19,72,150,21,102,0,9,0,0.0695364238410596,2,2001-07-17 01:50:52,995334652,6,9,0,33
22,26,25,121,4,12,0,32,1.2857142857142858,57,2,0,25,21,6,1,0,0,0,0,5,57,2,0,25,21,6,1,0,0,0,0,7,60,43,17,13,9,61,2,45,0,14,1,0.016528925619834708,1,2001-07-17 01:55:52,995334952,4,12,0,48
23,14,18,49,4,13,0,2,3.7,5,0,1,13,6,5,1,2,2,4,0,11,5,0,1,13,6,5,1,2,2,4,0,3,26,26,0,9,6,28,2,28,0,9,0,0.040816326530612235,1,2001-07-17 02:00:52,995335252,4,8,0,3
24,7,14,75,4,14,0,21,1.4666666666666666,27,0,0,18,8,7,0,0,0,0,0,4,27,0,0,18,8,7,0,0,0,0,0,4,30,28,2,5,8,35,7,35,0,9,1,0.09333333333333334,2,2001-07-17 02:05:52,995335552,4,8,0,13
25,18,21,58,6,14,0,2,2.4827586206896552,9,2,0,19,16,10,0,0,0,2,0,8,9,2,0,19,16,10,0,0,0,2,0,3,46,42,4,7,0,35,0,28,0,10,0,0.0,0,2001-07-17 02:10:52,995335852,6,8,0,19
26,11,12,63,4,14,0,25,1.2903225806451613,33,3,0,12,3,11,0,0,0,0,0,4,33,3,0,12,3,11,0,0,0,0,0,1,25,18,7,11,1,26,0,17,0,17,0,0.0,0,2001-07-17 02:15:52,995336152,4,9,0,11
27,88,97,210,4,11,0,1,1.964467005076142,9,0,0,183,0,4,1,0,0,0,0,5,9,0,0,183,0,4,1,0,0,0,0,6,181,179,2,9,12,111,6,29,0,11,0,0.028571428571428567,2,2001-07-17 02:20:52,995336452,4,7,0,10
28,6,8,46,7,15,0,8,1.8205128205128205,17,1,0,10,2,5,0,4,0,0,0,6,17,1,0,10,2,5,0,4,0,0,0,2,24,17,7,5,4,31,7,35,0,4,2,0.15217391304347827,2,2001-07-17 02:25:52,995336752,7,12,0,16
29,13,21,344,4,12,0,21,1.3442622950819672,52,3,0,49,11,6,0,1,0,0,0,6,52,3,0,49,11,6,0,1,0,0,0,7,85,61,24,9,213,261,33,72,0,25,0,0.09593023255813954,3,2001-07-17 02:30:52,995337052,4,8,0,31
30,21,136,222,4,12,0,21,2.3896713615023475,47,2,0,17,125,18,2,0,0,2,0,8,47,2,0,17,125,18,2,0,0,2,0,15,171,162,9,6,9,161,6,84,0,11,0,0.027027027027027032,3,2001-07-17 02:35:52,995337352,4,9,0,4
31,191,262,496,5,12,0,5,3.0381355932203387,17,1,0,21,381,37,3,2,7,3,0,8,17,1,0,21,381,37,3,2,7,3,0,2,459,450,9,6,23,236,9,122,0,9,0,0.018145161290322585,2,2001-07-17 02:40:52,995337652,5,9,0,13
32,19,35,101,6,13,0,6,2.4382022471910108,22,1,0,21,26,14,0,0,0,5,0,8,22,1,0,21,26,14,0,0,0,5,0,5,65,57,8,13,12,40,3,46,0,10,0,0.0297029702970297,3,2001-07-17 02:45:52,995337952,6,9,1,20
33,58,48,197,6,12,0,18,2.2641509433962264,22,21,0,59,33,12,6,2,0,4,0,8,22,21,0,59,33,12,6,2,0,4,0,1,133,130,3,7,38,95,10,64,0,10,1,0.05076142131979696,3,2001-07-17 02:50:52,995338252,6,12,0,15
34,62,71,234,4,9,0,21,2.1359649122807016,52,0,0,125,3,12,36,0,0,0,0,5,52,0,0,125,3,12,36,0,0,0,0,4,189,162,27,14,5,85,2,81,0,23,20,0.008547008547008548,1,2001-07-17 02:55:52,995338552,4,9,0,21
35,79,57,217,6,12,0,28,2.1173469387755097,37,1,0,113,18,18,1,1,5,2,0,8,37,1,0,113,18,18,1,1,5,2,0,8,142,141,1,18,17,99,7,78,0,27,1,0.03225806451612903,3,2001-07-17 03:00:52,995338852,6,12,0,36
36,383,386,976,6,14,0,9,1.6107106076210094,196,3,0,759,9,4,0,0,0,0,0,4,196,3,0,759,9,4,0,0,0,0,0,30,929,773,156,3,4,219,5,59,0,33,1,0.005122950819672132,1,2001-07-17 03:05:52,995339152,6,8,0,38
37,36,46,157,6,11,0,2,1.781021897810219,28,0,0,95,6,7,0,0,0,1,0,8,28,0,0,95,6,7,0,0,0,1,0,1,126,102,24,8,14,88,11,47,0,17,2,0.07006369426751592,2,2001-07-17 03:10:52,995339452,6,9,8,28
38,26,22,89,4,14,0,13,1.5609756097560976,32,2,0,30,9,7,1,1,0,0,0,6,32,2,0,30,9,7,1,1,0,0,0,10,56,47,9,3,7,38,5,44,0,16,0,0.05617977528089888,2,2001-07-17 03:15:52,995339752,4,9,0,6
39,14,12,85,5,14,0,17,1.1369863013698631,44,4,0,11,3,7,4,0,0,0,0,5,44,4,0,11,3,7,4,0,0,0,0,6,46,25,21,4,3,41,6,34,0,10,0,0.07058823529411765,2,2001-07-17 03:20:52,995340052,5,7,13,42
40,29,50,209,4,10,0,19,1.6868131868131868,73,1,0,74,9,11,0,13,0,0,1,9,73,1,0,74,9,11,0,13,0,0,1,29,117,101,16,17,15,104,13,69,0,6,1,0.062200956937799035,3,2001-07-17 03:25:52,995340352,4,10,11,29
41,42,43,108,4,14,0,1,2.623762376237624,10,3,0,52,9,14,9,3,0,0,0,12,10,3,0,52,9,14,9,3,0,0,0,9,82,82,0,9,7,74,6,46,0,5,0,0.05555555555555555,1,2001-07-17 03:30:52,995340652,4,9,0,27
42,5,18,44,7,7,0,4,1.4651162790697674,20,0,0,13,4,5,1,0,0,0,0,5,20,0,0,13,4,5,1,0,0,0,0,14,18,16,2,7,1,34,2,19,0,8,0,0.045454545454545456,2,2001-07-17 03:35:52,995340952,5,7,0,8
43,27,29,82,4,9,0,8,2.1714285714285717,12,1,0,34,12,8,3,0,0,0,0,5,12,1,0,34,12,8,3,0,0,0,0,1,57,54,3,4,4,33,4,35,0,13,0,0.04878048780487805,3,2001-07-17 03:40:52,995341252,4,7,0,15
44,18,10,50,4,8,0,10,1.7111111111111108,14,3,0,17,4,7,0,0,0,0,0,4,14,3,0,17,4,7,0,0,0,0,0,1,31,29,2,3,5,31,5,27,0,11,1,0.1,2,2001-07-17 03:45:52,995341552,4,8,1,10
45,13,20,82,7,9,0,3,1.8653846153846156,12,0,0,28,7,5,0,0,0,0,0,4,12,0,0,28,7,5,0,0,0,0,0,7,33,31,2,9,25,52,11,38,0,13,0,0.13414634146341464,2,2001-07-17 03:50:52,995341852,7,9,0,30
46,10,8,49,5,8,0,21,0.9583333333333334,29,2,0,11,2,4,0,0,0,0,0,4,29,2,0,11,2,4,0,0,0,0,0,2,19,14,5,6,1,29,0,20,0,10,1,0.0,0,2001-07-17 03:55:52,995342152,5,8,1,15
47,18,19,95,6,13,0,28,1.4285714285714286,44,5,0,20,9,10,0,3,0,0,0,6,44,5,0,20,9,10,0,3,0,0,0,13,41,38,3,9,3,54,7,58,0,11,0,0.07368421052631577,2,2001-07-17 04:00:52,995342452,6,8,1,13
48,119,98,428,4,13,0,47,1.6882716049382716,104,4,1,174,17,12,0,2,6,4,0,10,104,4,1,174,17,12,0,2,6,4,0,11,259,214,45,7,104,232,15,109,0,30,1,0.035046728971962614,2,2001-07-17 04:05:52,995342752,4,10,0,48
49,122,208,393,7,8,0,6,1.9441340782122905,22,1,0,318,9,8,0,0,0,0,0,4,22,1,0,318,9,8,0,0,0,0,0,10,332,326,6,10,35,157,5,52,0,19,0,0.012722646310432571,2,2001-07-17 04:10:52,995343052,7,8,0,24
50,35,46,161,5,12,0,9,1.68,30,1,0,80,7,7,0,0,0,0,0,4,30,1,0,80,7,7,0,0,0,0,0,15,96,90,6,5,34,85,5,45,0,12,0,0.031055900621118005,2,2001-07-17 04:15:52,995343352,5,9,0,25
51,27,59,297,3,13,0,44,1.0476190476190477,133,1,1,76,8,8,2,1,1,0,0,10,133,1,1,76,8,8,2,1,1,0,0,13,118,82,36,56,36,115,16,76,0,11,0,0.05387205387205387,3,2001-07-17 04:20:52,995343652,3,10,2,64
52,28,43,176,12,12,0,24,1.9741379310344829,41,0,0,29,16,27,3,0,0,0,0,5,41,0,0,29,16,27,3,0,0,0,0,9,69,61,8,14,60,108,9,53,0,12,0,0.05113636363636364,1,2001-07-17 04:25:52,995343952,12,12,0,47
53,25,31,156,5,16,0,2,2.3684210526315788,15,2,0,26,15,15,0,0,3,0,0,7,15,2,0,26,15,15,0,0,3,0,0,8,60,60,0,6,16,121,3,56,0,8,0,0.019230769230769232,1,2001-07-17 04:30:52,995344252,5,12,8,84
54,112,119,333,6,17,0,11,1.5979381443298968,50,173,0,15,27,5,5,0,1,10,4,13,50,173,0,15,27,5,5,0,1,10,4,17,200,196,4,63,42,186,18,113,0,12,0,0.054054054054054064,4,2001-07-17 04:35:52,995344552,6,13,23,60
55,12,10,50,5,12,0,2,2.186046511627907,11,6,0,7,6,9,4,0,0,0,0,5,11,6,0,7,6,9,4,0,0,0,0,9,30,30,0,2,6,24,2,28,0,7,0,0.04,1,2001-07-17 04:40:52,995344852,5,11,0,12
