,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,50,47,258,7,19,0,0,2.663716814159292,19,90,1,43,15,9,8,10,23,0,7,11,19,90,1,43,15,9,8,10,23,0,7,10,207,198,9,9,32,76,0,123,0,24,4,0.0,0,2005-05-23 00:00:09,1116806409,5,8,0,27
1,116,62,356,7,21,0,0,2.0679886685552407,55,111,0,85,50,33,0,4,0,11,0,14,55,111,0,85,50,33,0,4,0,11,0,20,286,251,35,47,3,74,0,114,0,8,2,0.0,0,2005-05-23 00:05:09,1116806709,6,10,0,78
2,81,89,349,14,19,0,0,1.471264367816092,85,141,0,64,41,1,2,0,6,8,0,8,85,141,0,64,41,1,2,0,6,8,0,23,284,228,56,41,1,73,0,99,0,9,0,0.0,0,2005-05-23 00:10:09,1116807009,8,8,0,77
3,62,88,294,5,19,0,0,1.4897260273972603,57,119,0,76,22,10,1,2,0,4,1,9,57,119,0,76,22,10,1,2,0,4,1,14,252,210,42,26,2,66,15,118,0,17,0,0.05813953488372093,2,2005-05-23 00:15:09,1116807309,5,8,0,30
4,119,155,565,8,19,0,0,1.6145648312611012,62,206,0,215,69,2,2,6,0,0,0,12,62,206,0,215,69,2,2,6,0,0,0,15,470,423,47,78,2,76,14,135,0,35,0,0.024778761061946902,2,2005-05-23 00:20:09,1116807609,8,8,0,93
5,24,24,85,3,19,0,0,1.8987341772151898,9,26,0,27,7,6,2,1,0,0,1,9,9,26,0,27,7,6,2,1,0,0,1,4,68,64,4,7,6,25,16,63,0,10,0,0.18823529411764706,3,2005-05-23 00:25:09,1116807909,3,9,0,12
6,20,19,84,4,19,0,0,2.338235294117647,11,23,0,20,6,2,0,1,0,0,0,14,11,23,0,20,6,2,0,1,0,0,0,2,58,49,9,8,16,36,13,53,0,6,0,0.15476190476190477,2,2005-05-23 00:30:09,1116808209,4,8,0,12
7,52,50,212,4,19,0,0,1.7535545023696681,38,62,0,65,33,7,2,1,0,0,0,12,38,62,0,65,33,7,2,1,0,0,0,4,175,142,33,32,1,40,39,114,0,7,2,0.18396226415094338,4,2005-05-23 00:35:09,1116808509,4,8,0,35
8,60,51,252,4,19,0,0,1.6626506024096386,37,123,0,43,14,11,12,7,0,1,1,9,37,123,0,43,14,11,12,7,0,1,1,13,208,184,24,28,3,46,40,124,0,18,1,0.15873015873015872,3,2005-05-23 00:40:09,1116808809,4,7,0,52
9,65,57,221,8,19,0,0,2.175115207373272,21,92,1,47,20,16,4,2,4,3,5,12,21,92,1,47,20,16,4,2,4,3,5,7,180,167,13,30,4,64,51,144,0,5,0,0.23076923076923078,4,2005-05-23 00:45:09,1116809109,5,8,0,39
10,49,36,161,9,19,0,0,1.9741935483870967,18,47,0,64,6,3,1,16,0,0,0,6,18,47,0,64,6,3,1,16,0,0,0,9,129,120,9,17,6,41,19,114,0,7,1,0.11801242236024845,3,2005-05-23 00:50:09,1116809409,5,8,0,33
11,31,53,189,7,19,0,0,1.4919786096256684,27,94,0,46,10,2,1,4,1,1,0,11,27,94,0,46,10,2,1,4,1,1,0,6,135,114,21,46,2,50,29,104,0,10,1,0.15343915343915343,4,2005-05-23 00:55:09,1116809709,4,8,0,42
12,57,50,206,7,19,0,0,1.5757575757575757,26,64,0,91,7,6,3,1,0,0,0,6,26,64,0,91,7,6,3,1,0,0,0,6,146,126,20,46,8,75,37,123,0,14,1,0.1796116504854369,4,2005-05-23 01:00:09,1116810009,5,8,0,54
13,51,52,304,4,19,0,0,1.811881188118812,21,171,0,43,7,34,27,0,0,0,0,5,21,171,0,43,7,34,27,0,0,0,0,8,267,254,13,28,1,93,56,157,0,14,3,0.18421052631578946,3,2005-05-23 01:05:09,1116810309,4,8,0,39
14,31,20,135,7,19,0,0,1.6917293233082706,26,53,1,35,4,4,2,6,0,0,2,10,26,53,1,35,4,4,2,6,0,0,2,12,97,85,12,24,2,39,33,98,0,21,11,0.24444444444444444,3,2005-05-23 01:10:09,1116810609,7,8,0,38
15,49,48,237,4,19,0,0,1.8614718614718615,17,114,0,62,13,6,8,3,0,1,7,9,17,114,0,62,13,6,8,3,0,1,7,10,182,176,6,39,6,59,27,177,0,7,0,0.11392405063291139,3,2005-05-23 01:15:09,1116810909,4,7,0,49
16,83,80,290,19,19,0,0,1.986206896551724,24,111,0,60,50,41,0,0,1,3,0,8,24,111,0,60,50,41,0,0,1,3,0,12,251,239,12,27,0,92,24,132,0,14,2,0.08275862068965517,3,2005-05-23 01:20:09,1116811209,5,7,0,43
17,33,30,150,7,19,0,0,1.6714285714285715,14,63,0,38,9,12,4,0,0,0,0,5,14,63,0,38,9,12,4,0,0,0,0,10,111,107,4,19,10,46,20,95,0,10,0,0.13333333333333333,3,2005-05-23 01:25:09,1116811509,5,8,0,30
18,105,67,337,5,29,0,0,2.2314540059347183,47,127,7,85,30,4,9,8,10,4,4,24,47,127,7,85,30,4,9,8,10,4,4,37,274,264,10,26,0,71,50,161,0,7,5,0.14836795252225518,5,2005-05-23 01:30:09,1116811809,4,10,0,73
19,35,33,185,6,19,0,0,2.313953488372093,23,79,2,38,6,9,0,0,1,6,2,24,23,79,2,38,6,9,0,0,1,6,2,20,129,126,3,23,13,56,20,97,0,15,0,0.10810810810810811,2,2005-05-23 01:35:09,1116812109,3,10,0,49
20,72,114,386,5,19,0,0,1.6476683937823835,16,167,0,170,14,14,2,0,3,0,0,7,16,167,0,170,14,14,2,0,3,0,0,4,355,344,11,27,0,97,12,72,0,9,3,0.031088082901554404,2,2005-05-23 01:40:09,1116812409,5,7,0,12
21,38,27,123,19,19,0,0,1.721311475409836,21,50,1,32,6,2,4,4,0,2,0,10,21,50,1,32,6,2,4,4,0,2,0,11,100,90,10,11,1,30,16,82,0,6,0,0.13008130081300814,2,2005-05-23 01:45:09,1116812709,5,9,0,20
22,49,21,136,6,19,0,0,1.4962962962962962,20,53,0,47,5,10,0,0,0,0,0,4,20,53,0,47,5,10,0,0,0,0,0,9,114,104,10,12,1,51,30,77,0,6,0,0.22058823529411764,4,2005-05-23 01:50:09,1116813009,6,6,0,25
23,160,150,452,3,19,0,0,2.2942477876106193,88,76,0,135,72,6,5,67,0,3,0,8,88,76,0,135,72,6,5,67,0,3,0,65,349,327,22,38,0,41,13,197,0,12,0,0.028761061946902654,2,2005-05-23 01:55:09,1116813309,3,8,0,106
24,97,80,303,6,19,0,0,2.3122923588039868,43,87,0,70,35,15,16,28,1,5,1,9,43,87,0,70,35,15,16,28,1,5,1,10,269,236,33,22,2,58,47,226,0,8,0,0.1551155115511551,3,2005-05-23 02:00:09,1116813609,6,11,0,41
25,72,52,273,7,19,0,0,2.3333333333333335,44,64,0,55,23,26,48,0,3,1,0,8,44,64,0,55,23,26,48,0,3,1,0,6,238,201,37,20,9,62,27,127,0,9,2,0.0989010989010989,3,2005-05-23 02:05:09,1116813909,7,9,0,29
26,57,75,235,4,19,0,0,2.138392857142857,41,51,0,80,25,6,2,1,1,7,10,9,41,51,0,80,25,6,2,1,1,7,10,18,180,157,23,26,11,57,24,113,0,14,0,0.10212765957446808,2,2005-05-23 02:10:09,1116814209,4,7,0,50
27,97,85,312,6,19,0,0,2.842443729903537,18,101,0,101,17,14,2,0,14,30,14,9,18,101,0,101,17,14,2,0,14,30,14,12,270,265,5,29,1,78,32,113,0,20,0,0.10256410256410256,2,2005-05-23 02:15:09,1116814509,6,7,0,40
28,114,70,336,7,21,0,0,1.6417910447761195,59,122,0,110,18,5,11,7,1,0,0,19,59,122,0,110,18,5,11,7,1,0,0,9,312,262,50,14,1,83,11,144,0,8,0,0.03273809523809524,2,2005-05-23 02:20:09,1116814809,6,9,0,17
29,74,102,368,8,19,0,0,1.4931880108991826,97,78,0,114,73,3,1,1,0,0,0,6,97,78,0,114,73,3,1,1,0,0,0,43,269,221,48,55,1,71,19,106,0,9,2,0.051630434782608696,3,2005-05-23 02:25:09,1116815109,8,8,0,115
30,64,77,239,22,24,0,0,2.602510460251046,26,62,0,76,19,7,24,18,0,0,0,15,26,62,0,76,19,7,24,18,0,0,0,15,175,164,11,49,0,65,21,149,0,28,6,0.08786610878661087,5,2005-05-23 02:30:09,1116815409,10,10,0,61
31,37,20,111,19,25,0,0,2.5135135135135136,17,39,0,22,7,7,2,10,0,4,0,15,17,39,0,22,7,7,2,10,0,4,0,9,94,87,7,8,0,34,11,76,0,11,2,0.0990990990990991,3,2005-05-23 02:35:09,1116815709,5,11,0,18
32,58,56,167,5,19,0,0,3.1265060240963853,17,45,0,36,18,2,7,17,2,12,9,12,17,45,0,36,18,2,7,17,2,12,9,8,141,133,8,17,1,55,24,107,0,5,0,0.1437125748502994,3,2005-05-23 02:40:09,1116816009,4,9,0,19
33,178,125,486,5,20,0,0,2.1978494623655913,31,153,2,160,80,7,5,13,0,2,5,20,31,153,2,160,80,7,5,13,0,2,5,8,433,410,23,24,21,100,13,150,15,9,5,0.026748971193415638,4,2005-05-23 02:45:09,1116816309,5,9,0,52
34,76,51,273,5,19,0,0,1.441509433962264,53,82,0,104,16,8,0,2,0,0,0,6,53,82,0,104,16,8,0,2,0,0,0,10,197,154,43,58,8,72,17,115,10,8,12,0.06227106227106227,3,2005-05-23 02:50:09,1116816609,5,7,0,73
35,50,63,267,6,19,0,0,1.394736842105263,18,172,0,47,16,8,5,0,0,0,0,5,18,172,0,47,16,8,5,0,0,0,0,9,236,227,9,21,1,69,18,104,0,28,6,0.06741573033707865,2,2005-05-23 02:55:09,1116816909,5,7,0,28
36,136,93,451,5,19,0,0,1.6926503340757237,56,177,3,145,43,16,4,0,0,1,2,12,56,177,3,145,43,16,4,0,0,1,2,34,356,334,22,59,2,80,25,175,0,39,3,0.05543237250554324,3,2005-05-23 03:00:09,1116817209,3,8,0,101
37,156,145,518,6,19,0,0,2.1005802707930368,38,185,0,142,65,44,24,13,0,6,0,8,38,185,0,142,65,44,24,13,0,6,0,14,455,431,24,48,1,101,15,222,0,52,11,0.02895752895752896,2,2005-05-23 03:05:09,1116817509,5,8,0,71
38,64,70,212,9,19,0,0,2.4123222748815167,11,64,0,67,27,21,9,2,0,1,9,9,11,64,0,67,27,21,9,2,0,1,9,9,156,154,2,46,1,57,11,104,0,28,2,0.05188679245283019,3,2005-05-23 03:10:09,1116817809,6,8,0,52
