,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,13,11,110,5,14,0,17,1.8888888888888888,17,3,0,8,10,4,1,1,0,0,1,9,17,3,0,8,10,4,1,1,0,0,1,0,28,28,0,0,63,65,0,53,0,0,0,0.0,0,2005-05-23 00:00:09,1116806409,4,8,0,7
1,3,7,95,7,16,0,11,1.5185185185185186,13,4,0,5,1,1,0,1,2,0,0,7,13,4,0,5,1,1,0,1,2,0,0,2,10,10,0,4,63,81,0,38,0,0,0,0.0,0,2005-05-23 00:05:09,1116806709,6,9,0,18
2,15,35,123,6,10,0,3,1.4952380952380953,34,6,0,51,10,1,3,0,0,0,0,5,34,6,0,51,10,1,3,0,0,0,0,23,72,69,3,7,18,65,0,35,0,0,0,0.0,0,2005-05-23 00:10:09,1116807009,5,7,0,39
3,16,31,104,5,13,0,20,2.123456790123457,30,3,0,11,19,0,18,0,0,0,0,5,30,3,0,11,19,0,18,0,0,0,0,0,45,36,9,16,20,69,0,42,0,0,0,0.0,0,2005-05-23 00:15:09,1116807309,5,7,0,9
4,41,23,152,4,10,0,23,1.5137614678899085,26,36,0,35,1,0,10,1,0,0,0,6,26,36,0,35,1,0,10,1,0,0,0,2,78,77,1,6,39,91,0,45,0,1,1,0.0,0,2005-05-23 00:20:09,1116807609,4,7,1,37
5,5,30,73,4,11,0,3,2.036363636363636,6,15,0,24,2,2,4,0,1,1,0,8,6,15,0,24,2,2,4,0,1,1,0,2,25,24,1,25,18,52,0,38,0,2,2,0.0,0,2005-05-23 00:25:09,1116807909,4,9,0,4
6,4,7,38,7,15,0,5,1.3888888888888888,7,4,0,3,2,1,1,0,0,0,0,5,7,4,0,3,2,1,1,0,0,0,0,0,11,10,1,2,20,32,0,21,0,1,1,0.0,0,2005-05-23 00:30:09,1116808209,6,7,0,2
7,14,17,86,6,14,0,14,1.25,18,27,0,16,2,5,0,0,0,0,0,4,18,27,0,16,2,5,0,0,0,0,0,1,52,50,2,1,17,31,0,37,0,0,0,0.0,0,2005-05-23 00:35:09,1116808509,5,7,0,4
8,25,21,83,4,15,0,6,2.05,7,32,0,6,2,8,3,0,0,0,0,13,7,32,0,6,2,8,3,0,0,0,0,1,50,50,0,3,23,39,0,37,0,3,0,0.0,0,2005-05-23 00:40:09,1116808809,4,6,0,6
9,11,14,74,7,15,0,5,2.35,7,9,0,11,7,3,0,0,1,0,0,12,7,9,0,11,7,3,0,0,1,0,0,1,32,31,1,2,25,43,0,44,0,1,0,0.0,0,2005-05-23 00:45:09,1116809109,5,8,0,23
10,8,11,45,9,17,0,0,1.4615384615384617,5,9,0,8,3,1,0,0,0,0,0,4,5,9,0,8,3,1,0,0,0,0,0,0,23,18,5,3,16,34,0,33,0,1,0,0.0,0,2005-05-23 00:50:09,1116809409,5,8,0,12
11,5,13,52,6,11,0,11,1.7631578947368418,20,1,0,7,1,1,6,0,1,1,0,8,20,1,0,7,1,1,6,0,1,1,0,5,12,8,4,10,5,36,7,29,0,1,0,0.19444444444444445,2,2005-05-23 00:55:09,1116809709,6,6,2,16
12,25,15,91,7,13,0,6,1.359375,20,6,0,35,2,0,1,0,0,0,0,5,20,6,0,35,2,0,1,0,0,0,0,9,46,41,5,3,25,69,17,51,0,0,0,0.1868131868131868,2,2005-05-23 01:00:09,1116810009,7,7,0,12
13,2,32,127,5,10,0,3,1.6206896551724137,10,44,0,21,2,1,9,0,0,0,0,5,10,44,0,21,2,1,9,0,0,0,0,1,80,74,6,3,38,77,12,39,0,1,0,0.09448818897637797,3,2005-05-23 01:05:09,1116810309,5,8,0,6
14,6,13,40,4,13,0,3,1.2222222222222223,6,14,0,5,0,1,1,0,0,0,0,5,6,14,0,5,0,1,1,0,0,0,0,1,13,12,1,10,12,30,11,28,0,0,0,0.275,2,2005-05-23 01:10:09,1116810609,4,7,0,13
15,16,13,77,6,12,0,10,1.3846153846153846,18,10,0,17,5,1,0,0,0,0,1,9,18,10,0,17,5,1,0,0,0,0,1,5,32,30,2,5,23,46,17,56,0,1,0,0.2207792207792208,3,2005-05-23 01:15:09,1116810909,5,7,1,15
16,11,17,132,5,14,0,32,1.3552631578947372,41,13,4,12,3,1,0,1,1,0,0,10,41,13,4,12,3,1,0,1,1,0,0,7,32,30,2,5,55,88,9,58,0,0,0,0.06818181818181818,2,2005-05-23 01:20:09,1116811209,5,6,0,11
17,5,7,64,4,8,0,21,0.5918367346938775,27,15,0,7,0,0,0,0,0,0,0,2,27,15,0,7,0,0,0,0,0,0,0,4,23,21,2,1,14,32,7,40,0,1,0,0.109375,3,2005-05-23 01:25:09,1116811509,4,7,0,6
18,22,42,148,9,11,0,3,1.6710526315789471,8,45,0,9,8,0,2,1,0,3,0,8,8,45,0,9,8,0,2,1,0,3,0,4,65,64,1,4,69,90,23,49,0,1,4,0.1554054054054054,4,2005-05-23 01:30:09,1116811809,9,9,0,23
19,7,8,46,8,16,0,5,1.40625,11,11,0,4,3,0,1,2,0,0,0,6,11,11,0,4,3,0,1,2,0,0,0,6,14,14,0,7,14,34,4,26,0,2,1,0.08695652173913042,1,2005-05-23 01:35:09,1116812109,5,10,0,15
20,5,16,105,7,10,0,3,1.6956521739130437,10,45,0,1,4,2,1,3,0,2,0,11,10,45,0,1,4,2,1,3,0,2,0,5,45,43,2,16,7,82,10,34,0,0,0,0.09523809523809523,2,2005-05-23 01:40:09,1116812409,6,7,0,18
21,15,13,50,6,14,0,11,2.9347826086956523,11,5,0,10,7,0,0,8,2,2,0,11,11,5,0,10,7,0,0,8,2,2,0,0,32,32,0,3,4,23,4,37,0,0,0,0.08,2,2005-05-23 01:45:09,1116812709,6,9,0,2
22,9,2,42,5,8,0,7,1.1851851851851851,8,10,0,7,0,2,0,0,0,0,0,4,8,10,0,7,0,2,0,0,0,0,0,0,20,19,1,0,15,24,10,22,0,0,0,0.2380952380952381,4,2005-05-23 01:50:09,1116813009,5,6,0,4
23,23,17,56,4,12,0,9,3.1481481481481484,9,6,0,14,6,1,0,14,2,2,0,8,9,6,0,14,6,1,0,14,2,2,0,0,37,37,0,8,2,28,0,37,0,1,1,0.0,0,2005-05-23 01:55:09,1116813309,4,9,0,13
24,27,14,63,5,12,0,2,3.019607843137255,5,13,0,12,2,4,1,10,2,2,0,8,5,13,0,12,2,4,1,10,2,2,0,2,45,44,1,2,7,35,15,56,0,0,0,0.2380952380952381,3,2005-05-23 02:00:09,1116813609,5,10,0,26
25,13,18,69,7,15,0,0,2.4347826086956523,4,12,0,7,11,10,1,0,0,1,0,8,4,12,0,7,11,10,1,0,0,1,0,3,33,32,1,10,23,37,13,33,0,0,0,0.18840579710144928,3,2005-05-23 02:05:09,1116813909,7,8,0,15
26,12,23,86,6,13,0,11,2.0980392156862746,14,15,0,10,1,2,0,2,7,0,0,7,14,15,0,10,1,2,0,2,7,0,0,2,35,35,0,3,35,49,8,37,0,3,0,0.09302325581395347,2,2005-05-23 02:10:09,1116814209,5,7,0,13
27,19,12,75,6,12,0,16,2.2881355932203387,17,23,0,3,0,2,0,0,14,0,0,7,17,23,0,3,0,2,0,0,14,0,0,0,41,40,1,2,10,42,15,34,0,0,0,0.2,2,2005-05-23 02:15:09,1116814509,5,7,0,6
28,75,38,186,14,15,0,19,3.111111111111111,24,38,18,43,3,7,0,14,4,0,0,12,24,38,18,43,3,7,0,14,4,0,0,2,119,116,3,13,28,106,10,65,0,2,0,0.053763440860215055,2,2005-05-23 02:20:09,1116814809,5,9,0,18
29,4,30,74,4,10,0,9,1.819672131147541,10,17,0,28,0,1,1,0,3,1,0,8,10,17,0,28,0,1,1,0,3,1,0,0,25,24,1,27,13,48,9,26,0,0,0,0.12162162162162166,2,2005-05-23 02:25:09,1116815109,4,7,0,43
30,11,16,88,4,13,0,2,1.74,5,25,0,14,1,0,3,0,0,2,0,8,5,25,0,14,1,0,3,0,0,2,0,2,39,38,1,7,19,67,15,54,0,0,0,0.17045454545454544,6,2005-05-23 02:30:09,1116815409,4,9,1,14
31,19,9,45,6,10,0,7,2.0,9,7,0,14,6,1,0,0,1,2,0,8,9,7,0,14,6,1,0,0,1,2,0,1,28,27,1,4,4,29,3,39,0,1,0,0.06666666666666668,2,2005-05-23 02:35:09,1116815709,6,7,0,6
32,14,19,64,8,14,0,6,3.4150943396226414,13,4,0,8,6,1,0,9,11,1,0,8,13,4,0,8,6,1,0,9,11,1,0,2,33,30,3,12,7,34,13,51,0,0,0,0.203125,2,2005-05-23 02:40:09,1116816009,7,9,0,10
33,43,14,134,5,12,0,1,2.4285714285714284,3,21,0,31,1,2,0,9,2,1,0,8,3,21,0,31,1,2,0,9,2,1,0,1,65,65,0,3,61,80,4,37,0,5,0,0.02985074626865672,1,2005-05-23 02:45:09,1116816309,4,9,0,24
34,19,20,85,4,14,0,7,1.417910447761194,21,20,0,19,0,0,6,0,1,0,0,7,21,20,0,19,0,0,6,0,1,0,0,6,35,27,8,19,15,56,9,33,2,1,5,0.10588235294117647,2,2005-05-23 02:50:09,1116816609,4,7,0,34
35,21,41,124,6,7,0,14,1.173469387755102,22,58,0,10,1,1,6,0,0,0,0,5,22,58,0,10,1,1,6,0,0,0,0,5,77,74,3,2,24,62,8,34,0,0,0,0.06451612903225806,2,2005-05-23 02:55:09,1116816909,5,6,2,9
36,22,12,116,5,14,0,17,1.52,25,13,0,14,19,4,0,0,0,0,0,4,25,13,0,14,19,4,0,0,0,0,0,8,46,46,0,4,40,63,10,43,0,0,0,0.08620689655172414,2,2005-05-23 03:00:09,1116817209,5,7,0,18
37,32,34,161,7,14,0,24,1.7769784172661869,31,45,0,23,27,3,2,5,1,2,0,8,31,45,0,23,27,3,2,5,1,2,0,4,101,98,3,10,22,75,10,71,0,0,0,0.06211180124223601,2,2005-05-23 03:05:09,1116817509,6,9,0,19
38,18,21,67,12,12,0,4,1.6885245901639343,8,22,0,20,7,1,2,1,0,0,0,6,8,22,0,20,7,1,2,1,0,0,0,3,44,43,1,10,6,41,7,47,0,1,0,0.1044776119402985,3,2005-05-23 03:10:09,1116817809,6,7,0,29
39,17,18,62,4,12,0,6,2.0851063829787235,9,6,0,25,1,1,1,0,2,2,0,8,9,6,0,25,1,1,1,0,2,2,0,3,29,29,0,9,14,34,8,45,0,0,0,0.12903225806451613,2,2005-05-23 03:15:09,1116818109,4,9,0,22
40,43,53,359,4,16,0,13,1.7702702702702702,14,131,0,48,2,6,0,11,10,0,0,7,14,131,0,48,2,6,0,11,10,0,0,0,199,198,1,10,137,182,17,86,0,1,0,0.04735376044568245,2,2005-05-23 03:20:09,1116818409,4,10,0,14
41,36,45,248,5,17,0,25,2.4198895027624308,35,35,0,18,65,5,0,9,14,0,0,7,35,35,0,18,65,5,0,9,14,0,0,10,135,135,0,11,65,121,40,92,0,0,0,0.16129032258064516,3,2005-05-23 03:25:09,1116818709,5,8,0,29
42,50,9,228,5,16,0,2,1.5706521739130437,6,117,0,39,3,12,5,2,0,0,0,6,6,117,0,39,3,12,5,2,0,0,0,1,174,172,2,7,43,199,20,76,0,0,0,0.08771929824561403,2,2005-05-23 03:30:09,1116819009,5,8,0,21
43,38,51,252,8,14,0,24,1.888412017167382,28,118,0,39,18,3,2,20,0,3,0,13,28,118,0,39,18,3,2,20,0,3,0,3,198,197,1,8,12,202,14,96,0,0,0,0.05555555555555555,3,2005-05-23 03:35:09,1116819309,7,7,6,24
44,64,33,364,15,29,0,5,3.3783783783783785,10,23,0,20,25,1,6,19,0,4,0,23,10,23,0,20,25,1,6,19,0,4,0,4,95,94,1,7,252,298,19,89,0,1,1,0.0521978021978022,2,2005-05-23 03:40:09,1116819609,5,10,1,45
45,10,54,149,5,17,0,14,1.8088235294117647,53,45,0,7,1,0,6,21,1,1,0,13,53,45,0,7,1,0,6,21,1,1,0,35,78,78,0,9,11,120,4,61,0,0,0,0.026845637583892617,2,2005-05-23 03:45:09,1116819909,5,9,0,16
46,200,11,408,5,12,0,67,0.7897897897897898,115,196,0,8,9,3,1,0,1,0,0,7,115,196,0,8,9,3,1,0,1,0,0,4,258,215,43,4,75,337,10,101,0,1,0,0.024509803921568627,1,2005-05-23 03:50:09,1116820209,5,9,0,8
47,25,21,146,8,12,0,5,2.455555555555556,6,37,0,15,12,1,7,8,2,1,1,9,6,37,0,15,12,1,7,8,2,1,1,1,65,65,0,19,49,114,10,45,0,1,1,0.0684931506849315,2,2005-05-23 03:55:09,1116820509,5,7,3,90
48,55,36,182,8,23,0,29,2.6730769230769234,39,20,0,29,17,16,8,20,3,1,0,13,39,20,0,29,17,16,8,20,3,1,0,7,103,101,2,17,21,119,21,103,0,3,0,0.11052631578947368,3,2005-05-23 04:00:09,1116820809,6,10,0,31
49,664,31,1448,4,18,0,9,1.185234899328859,22,644,0,46,8,17,1,6,0,0,0,14,22,644,0,46,8,17,1,6,0,0,0,10,695,693,2,31,649,775,27,137,0,0,0,0.01864640883977901,1,2005-05-23 04:05:09,1116821109,4,6,0,16
50,14,24,118,4,14,0,9,1.7653061224489797,24,43,2,10,4,10,0,4,0,0,0,14,24,43,2,10,4,10,0,4,0,0,0,5,71,62,9,13,16,91,7,59,0,1,0,0.059322033898305086,1,2005-05-23 04:10:09,1116821409,4,7,1,14
51,88,44,364,8,22,0,17,3.372549019607843,36,27,0,19,50,10,8,32,4,10,0,13,36,27,0,19,50,10,8,32,4,10,0,16,152,150,2,19,157,210,98,222,1,4,2,0.2677595628415301,3,2005-05-23 04:15:09,1116821709,7,12,0,90
52,58,72,324,7,17,0,21,2.6057347670250897,40,101,0,45,33,15,4,17,2,7,3,19,40,101,0,45,33,15,4,17,2,7,3,11,169,162,7,78,37,218,20,171,0,1,2,0.061728395061728385,3,2005-05-23 04:20:09,1116822009,6,10,0,44
53,18,49,178,6,12,0,27,3.473282442748092,40,15,3,28,6,1,0,23,0,0,0,17,40,15,3,28,6,1,0,23,0,0,0,10,81,80,1,13,39,118,10,95,0,1,1,0.05617977528089888,3,2005-05-23 04:25:09,1116822309,6,9,0,17
54,13,676,976,4,10,0,244,0.8640674394099052,251,610,0,71,1,15,1,0,0,0,0,5,251,610,0,71,1,15,1,0,0,0,0,6,675,674,1,24,26,734,10,100,0,0,0,0.010245901639344263,3,2005-05-23 04:30:09,1116822609,4,6,0,12
55,40,60,185,4,12,0,13,2.1594202898550723,21,33,0,40,23,9,1,4,5,2,0,8,21,33,0,40,23,9,1,4,5,2,0,3,91,87,4,31,40,112,17,74,0,1,2,0.0918918918918919,3,2005-05-23 04:35:09,1116822909,4,9,0,38
56,31,37,191,12,12,0,55,1.3647798742138364,64,41,0,28,14,0,4,1,4,3,0,8,64,41,0,28,14,0,4,1,4,3,0,4,88,84,4,12,27,132,14,79,0,2,0,0.07329842931937172,2,2005-05-23 04:40:09,1116823209,6,9,0,15
57,11,12,102,11,13,0,22,1.5211267605633805,33,14,0,11,3,0,1,6,2,1,0,8,33,14,0,11,3,0,1,6,2,1,0,7,36,33,3,6,24,55,13,46,0,0,0,0.12745098039215685,3,2005-05-23 04:45:09,1116823509,5,10,0,23
