,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,600,703,3026,7,21,0,0,1.8360531309297912,399,984,2,705,282,90,32,54,34,28,12,14,399,984,2,705,282,90,32,54,34,28,12,123,2145,1898,247,367,330,391,236,1305,0,156,9,0.11642821904292057,4,2005-05-23 00:00:09,1116806409,4,10,5,530
1,621,672,2941,3,29,0,0,1.90990990990991,333,929,11,788,179,118,62,85,12,18,12,24,333,929,11,788,179,118,62,85,12,18,12,203,2030,1905,125,320,349,490,338,1468,0,135,23,0.11492689561373683,5,2005-05-23 01:00:09,1116810009,3,10,2,538
2,835,784,3370,6,25,0,0,2.069476457029964,446,980,2,879,322,97,92,86,21,54,39,20,446,980,2,879,322,97,92,86,21,54,39,156,2542,2262,280,339,296,470,264,1530,25,157,25,0.07833827893175074,5,2005-05-23 02:00:09,1116813609,5,11,4,543
3,1566,1257,5943,4,29,0,0,1.8674270755422588,774,1855,3,1709,417,241,109,122,16,43,34,24,774,1855,3,1709,417,241,109,122,16,43,34,220,4658,4111,547,470,539,750,316,2271,0,251,12,0.05317179875483762,4,2005-05-23 03:00:09,1116817209,4,9,4,822
4,1325,1584,5680,3,23,0,0,2.2072712902588423,637,1824,25,1264,528,192,148,211,47,80,28,24,637,1824,25,1264,528,192,148,211,47,80,28,243,4020,3642,378,798,476,940,515,2844,0,153,16,0.09066901408450705,4,2005-05-23 04:00:09,1116820809,3,11,1,960
5,1681,1648,7284,5,29,0,0,2.1677798982188294,573,2435,5,1690,512,455,253,83,34,104,87,24,573,2435,5,1690,512,455,253,83,34,104,87,242,5265,4945,320,781,817,1261,346,2405,24,251,253,0.04750137287204832,4,2005-05-23 05:00:09,1116824409,5,12,41,1219
6,2203,1943,7847,5,19,0,0,2.020234440413062,966,2196,12,2105,853,467,293,118,23,55,63,15,966,2196,12,2105,853,467,293,118,23,55,63,201,6201,5456,745,764,640,1044,350,2582,54,298,189,0.04460303300624442,4,2005-05-23 06:00:09,1116828009,5,12,1,1099
7,2611,2424,9289,2,24,0,0,2.177682103793344,778,2949,7,2467,777,650,550,200,50,51,91,16,778,2949,7,2467,777,650,550,200,50,51,91,223,7469,6920,549,902,639,1229,320,3045,69,282,249,0.034449348692001294,3,2005-05-23 07:00:09,1116831609,2,12,1,1159
8,2224,1957,9480,6,29,0,0,2.156401041021192,946,3028,12,1724,722,389,977,109,43,44,27,24,946,3028,12,1724,722,389,977,109,43,44,27,235,6887,6187,700,947,1292,1866,518,2920,61,223,128,0.05464135021097046,4,2005-05-23 08:00:09,1116835209,6,12,9,1335
9,1405,1844,5991,7,20,0,0,2.1776910799787195,595,1947,16,1597,362,289,596,112,35,32,35,13,595,1947,16,1597,362,289,596,112,35,32,35,259,4679,4352,327,701,305,1321,354,2303,46,96,30,0.05908863294942414,3,2005-05-23 09:00:09,1116838809,5,11,15,906
